,t_idx,target_ee_pos,target_ee_quat,Kp_pos,Kp_rot,is_converged,iter_conv,pos_overshoot,rot_overshoot,final_pos_err,final_rot_err
0,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],300.0000000000001,300.0000000000001,True,367,0.0,0.0,0.0026779224960260333,0.006627048751591131
1,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],300.0000000000001,337.4047951142096,True,366,0.0,0.0,0.0027036972806612357,0.003532851199797893
2,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],300.0000000000001,379.4733192202058,True,366,0.0,0.0,0.002701281406166253,0.0017064536958059434
3,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],300.0000000000001,426.78705840934134,True,366,0.0,0.0,0.0026995537171017082,0.0007519501093110875
4,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],300.0000000000001,479.99999999999994,True,366,0.0,0.0,0.002691168434134191,0.0003349883826732331
5,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],337.4047951142096,300.0000000000001,True,327,0.0,0.0,0.002491284683147597,0.010937122545217046
6,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],337.4047951142096,337.4047951142096,True,327,0.0,0.0,0.0024904144163463942,0.006160401616472822
7,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],337.4047951142096,379.4733192202058,True,327,0.0,0.0,0.0024899645854143315,0.003252880761274478
8,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],337.4047951142096,426.78705840934134,True,327,0.0,0.0,0.0024804517823158014,0.0015382109566721002
9,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],337.4047951142096,479.99999999999994,True,327,0.0,0.0,0.0024772956726402963,0.0006778684089673084
10,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],379.4733192202058,300.0000000000001,True,293,0.0,0.0,0.002262023222054096,0.016766573295325597
11,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],379.4733192202058,337.4047951142096,True,293,0.0,0.0,0.0022622137506760572,0.009984782684512897
12,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],379.4733192202058,379.4733192202058,True,293,0.0,0.0,0.0022521023986780938,0.005583312537034735
13,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],379.4733192202058,426.78705840934134,True,293,0.0,0.0,0.0022485765727192158,0.002891795337009328
14,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],379.4733192202058,479.99999999999994,True,292,0.0,0.0,0.002276742502285001,0.0013873528130619434
15,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],426.78705840934134,300.0000000000001,True,283,0.0,0.0,0.0014142992085832526,0.01921521036838288
16,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],426.78705840934134,337.4047951142096,True,263,0.0,0.0,0.0020327801121546823,0.015330030078837521
